id,bid_amount,bid_amount_btc,bid_price,ask_amount,ask_amount_btc,ask_price,coin,exchange,timestamp
70,1500.0,0.01878,1.252e-05,800.0,0.01808,2.26e-05,XWC,Bittrex,
71,53.004756,0.00066255945,1.25e-05,987.5,0.02245575,2.274e-05,XWC,Bittrex,
72,50.0,0.0006234999999999999,1.247e-05,5000.0,0.1145,2.29e-05,XWC,Bittrex,
73,2500.0,0.030925,1.237e-05,2250.0,0.051570000000000005,2.292e-05,XWC,Bittrex,
74,1730.0,0.0201545,1.165e-05,40.0,0.0009172,2.293e-05,XWC,Bittrex,
75,5000.0,0.0566,1.132e-05,80.0,0.00184,2.3e-05,XWC,Bittrex,
76,4327.66883438,0.048080400749961796,1.111e-05,6955.0,0.16239925,2.335e-05,XWC,Bittrex,
77,10000.0,0.106,1.06e-05,5000.0,0.11699999999999999,2.34e-05,XWC,Bittrex,
78,244.37927664,0.0025000000000272,1.023e-05,40.0,0.0009372,2.343e-05,XWC,Bittrex,
79,7980.0,0.080997,1.015e-05,814.0,0.0192918,2.37e-05,XWC,Bittrex,
80,1918.0,0.01939098,1.011e-05,6000.0,0.1434,2.39e-05,XWC,Bittrex,
81,4990.1047375,0.049901047375,1e-05,40.0,0.0009572,2.393e-05,XWC,Bittrex,
82,79.36267582,0.0007237876034784001,9.12e-06,201.35313222,0.0048807999250128,2.424e-05,XWC,Bittrex,
83,79.36267582,0.0007229939767202,9.11e-06,616.2479407,0.014962500000196,2.428e-05,XWC,Bittrex,
84,13625.0,0.12371499999999999,9.08e-06,5000.0,0.122,2.44e-05,XWC,Bittrex,
85,554166.66666667,4.98750000000003,9e-06,40.0,0.0009772000000000001,2.443e-05,XWC,Bittrex,
86,554166.66666667,4.876666666666696,8.8e-06,79.12355447,0.0019503956176855,2.465e-05,XWC,Bittrex,
87,120.0,0.001026,8.55e-06,10000.0,0.2482,2.482e-05,XWC,Bittrex,
88,586764.70588235,4.987499999999975,8.5e-06,40.0,0.0009972,2.493e-05,XWC,Bittrex,
89,623437.5,4.9875,8e-06,752.0,0.0188376,2.505e-05,XWC,Bittrex,
90,25191.37828897,0.19875997469997334,7.89e-06,995.0,0.0249546,2.508e-05,XWC,Bittrex,
91,64.55901015,0.0005087249999820001,7.88e-06,3000.0,0.07539,2.513e-05,XWC,Bittrex,
92,67.14135713,0.0005102743141880001,7.6e-06,2000.0,0.0504,2.52e-05,XWC,Bittrex,
93,623437.5,4.67578125,7.5e-06,10000.0,0.254,2.54e-05,XWC,Bittrex,
94,71.45014044,0.0005087249999328,7.12e-06,40.0,0.0010172,2.543e-05,XWC,Bittrex,
95,855000.0,5.985,7e-06,40.0,0.0010372,2.593e-05,XWC,Bittrex,
96,855000.0,5.814,6.8e-06,5668.16509474,0.1471455658594504,2.596e-05,XWC,Bittrex,
97,160.18348289,0.0010828403443364,6.76e-06,10000.0,0.264,2.64e-05,XWC,Bittrex,
98,855000.0,5.557499999999999,6.5e-06,40.0,0.0010572,2.643e-05,XWC,Bittrex,
99,4780.3514377,0.029925000000002002,6.26e-06,20000.0,0.5364,2.682e-05,XWC,Bittrex,
100,855000.0,5.301,6.2e-06,1862.0,0.050106420000000006,2.691e-05,XWC,Bittrex,
101,660869.60587651,0.5551304689362684,8.4e-07,416699.7277138,0.358361765833868,8.6e-07,XDN,Bittrex,
102,1614351.61925315,1.3399118439801145,8.3e-07,616822.25270294,0.5366353598515579,8.7e-07,XDN,Bittrex,
103,595547.52627218,0.4883489715431876,8.2e-07,160751.80358598,0.1414615871556624,8.8e-07,XDN,Bittrex,
104,168903.98824612,0.1368122304793572,8.1e-07,294223.12477694,0.2618585810514766,8.9e-07,XDN,Bittrex,
105,260820.96277783,0.20865677022226398,8e-07,442190.26700175,0.397971240301575,9e-07,XDN,Bittrex,
106,373376.56325949,0.2949674849749971,7.9e-07,142144.75492728,0.1293517269838248,9.1e-07,XDN,Bittrex,
107,370461.5448558,0.288960004987524,7.8e-07,231882.59087515,0.213331983605138,9.2e-07,XDN,Bittrex,
108,96524.82387663,0.07432411438500511,7.7e-07,88985.88784903,0.0827568756995979,9.3e-07,XDN,Bittrex,
109,685362.575,0.520875557,7.6e-07,549816.01506769,0.5168270541636286,9.4e-07,XDN,Bittrex,
