coin,exchange,unix_timestamp,open,high,low,close,volumeto,volumefrom,time
BTC,Bitfinex,1423420200.0,224.22,225.0,215.4,220.61,6493501.42,29625.03,08-02-2015 18:30
BTC,Bitfinex,1424629800.0,220.61,266.84,214.0,239.73,109534691.57000001,460114.67000000004,22-02-2015 18:30
BTC,Bitfinex,1425839400.0,239.73,295.0,233.62,291.2,145974576.70999998,543257.4099999999,08-03-2015 18:30
BTC,Bitfinex,1427049000.0,291.2,303.96,246.98,266.78,135530044.26,487832.19,22-03-2015 18:30
BTC,Bitfinex,1428258600.0,266.78,268.4,235.7,255.81,100465236.10999998,403423.03,05-04-2015 18:30
BTC,Bitfinex,1429468200.0,255.81,257.9,216.37,224.21,82136332.91000001,355489.61,19-04-2015 18:30
BTC,Bitfinex,1430677800.0,224.21,243.73,213.92,239.01,72542358.36,314735.21,03-05-2015 18:30
BTC,Bitfinex,1431887400.0,239.01,249.22,226.42,232.0,65206144.87,274382.83,17-05-2015 18:30
BTC,Bitfinex,1433097000.0,232.0,242.98,219.71,221.97,38306520.61,163923.02000000002,31-05-2015 18:30
BTC,Bitfinex,1434306600.0,221.97,238.16,220.97,237.18,45641906.510000005,200181.47000000003,14-06-2015 18:30
BTC,Bitfinex,1435516200.0,237.18,259.1,236.0,257.01,77043762.03000002,311270.0900000001,28-06-2015 18:30
BTC,Bitfinex,1436725800.0,257.01,316.23,252.11,291.89,69607054.34,286124.56000000006,12-07-2015 18:30
BTC,Bitfinex,1437935400.0,291.89,298.74,272.0,294.71,73515497.8,258797.03999999995,26-07-2015 18:30
BTC,Bitfinex,1439145000.0,294.71,298.93,260.62,264.96,57561416.11000001,206244.68000000002,09-08-2015 18:30
BTC,Bitfinex,1440354600.0,264.96,273.75,162.0,212.63,92630623.47,390833.6099999999,23-08-2015 18:30
BTC,Bitfinex,1441564200.0,212.63,248.48,196.6,240.34,53317397.65000001,236019.19,06-09-2015 18:30
BTC,Bitfinex,1442773800.0,240.34,247.68,226.38,227.09,31682104.860000003,134368.36,20-09-2015 18:30
BTC,Bitfinex,1443983400.0,227.83,242.0,224.25,241.8,26628270.259999994,112926.74999999999,04-10-2015 18:30
BTC,Bitfinex,1445193000.0,242.0,275.19,241.51,265.03,44449641.39,172430.83000000002,18-10-2015 18:30
BTC,Bitfinex,1446402600.0,266.5,373.12,264.1,364.86,136790954.18,441897.11000000004,01-11-2015 18:30
BTC,Bitfinex,1447612200.0,364.0,504.0,300.28,331.79,440505765.26000005,1146584.71,15-11-2015 18:30
BTC,Bitfinex,1448821800.0,332.0,384.99,309.46,379.0,119209038.77,344332.66000000003,29-11-2015 18:30
BTC,Bitfinex,1450031400.0,378.23,475.04,346.13,441.7,233771218.5,574534.75,13-12-2015 18:30
BTC,Bitfinex,1451241000.0,445.85,469.99,405.5,419.69,210215831.08,475089.5899999999,27-12-2015 18:30
BTC,Bitfinex,1452450600.0,421.0,465.0,412.5,449.1,111396737.47000001,254015.37,10-01-2016 18:30
BTC,Bitfinex,1453660200.0,446.49,449.98,352.5,392.55,208394214.84,524030.25,24-01-2016 18:30
BTC,Bitfinex,1454869800.0,392.44,398.0,360.03,370.0,111861157.48,296290.52,07-02-2016 18:30
BTC,Bitfinex,1456079400.0,370.31,451.6,370.04,440.02,131963238.32000001,320691.22,21-02-2016 18:30
BTC,Bitfinex,1457289000.0,440.7,445.0,389.0,414.51,120618376.15999998,287190.17000000004,06-03-2016 18:30
BTC,Bitfinex,1458498600.0,413.35,423.6,403.01,411.44,61137720.96000001,147889.25000000003,20-03-2016 18:30
BTC,Bitfinex,1459708200.0,411.05,431.0,406.51,420.54,52329283.63000001,125025.59,03-04-2016 18:30
BTC,Bitfinex,1460917800.0,420.01,435.67,412.0,429.55,46991420.87,110506.86,17-04-2016 18:30
BTC,Bitfinex,1462127400.0,430.27,471.99,428.54,443.98,115505081.23,256059.29,01-05-2016 18:30
BTC,Bitfinex,1463337000.0,443.81,466.0,440.1,454.47,70980621.6,156177.86,15-05-2016 18:30
BTC,Bitfinex,1464546600.0,453.02,570.0,435.1,535.12,169379611.77000004,344354.32,29-05-2016 18:30
BTC,Bitfinex,1465756200.0,535.66,719.0,518.0,702.68,344044334.46000004,567821.32,12-06-2016 18:30
BTC,Bitfinex,1466965800.0,700.21,789.78,555.56,648.5,674371102.8799999,989031.97,26-06-2016 18:30
BTC,Bitfinex,1468175400.0,660.98,706.0,610.1,649.19,291772059.87,444398.67,10-07-2016 18:30
BTC,Bitfinex,1469385000.0,648.83,689.96,639.41,653.0,141235271.92,212800.77,24-07-2016 18:30
BTC,Bitfinex,1470594600.0,653.28,662.78,595.0,604.1,91155199.91,144464.74000000002,07-08-2016 18:30
BTC,Bitfinex,1471804200.0,604.1,609.29,562.99,588.79,47563373.65999999,81657.69000000002,21-08-2016 18:30
BTC,Bitfinex,1473013800.0,587.61,618.65,567.23,612.67,32170068.6,54868.97,04-09-2016 18:30
