coin,exchange,unix_timestamp,open,high,low,close,volumeto,volumefrom,time
BTC,Bitfinex,1423420200.0,224.22,225.0,215.4,220.61,6493501.42,29625.03,08-02-2015 18:30
BTC,Bitfinex,1424284200.0,220.61,266.84,214.0,241.9,83707757.24,352975.07,18-02-2015 18:30
BTC,Bitfinex,1425148200.0,241.9,265.0,232.1,261.15,63904006.95,260515.81999999998,28-02-2015 18:30
BTC,Bitfinex,1426012200.0,262.47,303.96,259.6,296.33,135485898.88,483213.85,10-03-2015 18:30
BTC,Bitfinex,1426876200.0,296.33,298.8,246.98,260.37,96818930.83000001,352718.64,20-03-2015 18:30
BTC,Bitfinex,1427740200.0,260.37,271.5,235.7,244.42,79382704.86,317634.63999999996,30-03-2015 18:30
BTC,Bitfinex,1428604200.0,244.42,262.45,230.75,234.99,59009627.22000001,237732.12,09-04-2015 18:30
BTC,Bitfinex,1429468200.0,234.99,240.58,216.37,224.21,55331955.580000006,245326.77000000002,19-04-2015 18:30
BTC,Bitfinex,1430332200.0,224.21,240.89,213.92,235.64,56039120.28,245412.45000000004,29-04-2015 18:30
BTC,Bitfinex,1431196200.0,235.64,249.22,226.42,240.58,55178700.88,232462.31999999998,09-05-2015 18:30
BTC,Bitfinex,1432060200.0,240.58,245.49,229.0,233.85,30620115.099999994,128757.20999999999,19-05-2015 18:30
BTC,Bitfinex,1432924200.0,233.85,242.98,228.2,232.3,24365066.41,102788.08,29-05-2015 18:30
BTC,Bitfinex,1433788200.0,232.3,232.99,219.71,229.52,39539821.78,175098.96,08-06-2015 18:30
BTC,Bitfinex,1434652200.0,229.52,259.1,227.48,244.57,52872821.190000005,217154.86999999997,18-06-2015 18:30
BTC,Bitfinex,1435516200.0,244.57,257.74,239.0,257.01,40125046.74,162818.72999999998,28-06-2015 18:30
BTC,Bitfinex,1436380200.0,257.01,278.69,252.11,272.0,28923496.56,149637.38,08-07-2015 18:30
BTC,Bitfinex,1437244200.0,272.0,316.23,272.0,275.03,82391818.83999999,283697.55999999994,18-07-2015 18:30
BTC,Bitfinex,1438108200.0,275.03,298.93,273.5,289.15,40675161.480000004,141811.87,28-07-2015 18:30
