,Histogram_Close,Histogram_High,Histogram_Low,coin,exchange
0,"(212.63, 1460.3213333333333, 116)","(225.0, 1536.0666666666666, 116)","(162.0, 1193.3333333333333, 115)",BTC,Bitfinex
1,"(1460.3213333333333, 2708.0126666666665, 12)","(1536.0666666666666, 2847.133333333333, 11)","(1193.3333333333333, 2224.6666666666665, 11)",BTC,Bitfinex
2,"(2708.0126666666665, 3955.7039999999997, 4)","(2847.133333333333, 4158.2, 5)","(2224.6666666666665, 3256.0, 7)",BTC,Bitfinex
3,"(3955.7039999999997, 5203.395333333333, 8)","(4158.2, 5469.266666666666, 8)","(3256.0, 4287.333333333333, 7)",BTC,Bitfinex
4,"(5203.395333333333, 6451.086666666666, 4)","(5469.266666666666, 6780.333333333333, 5)","(4287.333333333333, 5318.666666666666, 2)",BTC,Bitfinex
5,"(6451.086666666666, 7698.777999999999, 14)","(6780.333333333333, 8091.4, 10)","(5318.666666666666, 6350.0, 9)",BTC,Bitfinex
6,"(7698.777999999999, 8946.469333333333, 10)","(8091.4, 9402.466666666667, 10)","(6350.0, 7381.333333333333, 12)",BTC,Bitfinex
7,"(8946.469333333333, 10194.160666666665, 4)","(9402.466666666667, 10713.533333333333, 5)","(7381.333333333333, 8412.666666666666, 8)",BTC,Bitfinex
8,"(10194.160666666665, 11441.851999999997, 5)","(10713.533333333333, 12024.599999999999, 6)","(8412.666666666666, 9444.0, 5)",BTC,Bitfinex
9,"(11441.851999999997, 12689.543333333331, 1)","(12024.599999999999, 13335.666666666666, 1)","(9444.0, 10475.333333333332, 2)",BTC,Bitfinex
10,"(12689.543333333331, 13937.234666666665, 3)","(13335.666666666666, 14646.733333333334, 1)","(10475.333333333332, 11506.666666666666, 2)",BTC,Bitfinex
11,"(13937.234666666665, 15184.925999999998, 1)","(14646.733333333334, 15957.8, 1)","(11506.666666666666, 12538.0, 1)",BTC,Bitfinex
12,"(15184.925999999998, 16432.61733333333, 0)","(15957.8, 17268.866666666665, 2)","(12538.0, 13569.333333333332, 2)",BTC,Bitfinex
13,"(16432.61733333333, 17680.308666666668, 1)","(17268.866666666665, 18579.933333333334, 1)","(13569.333333333332, 14600.666666666666, 0)",BTC,Bitfinex
14,"(17680.308666666668, 18928.0, 1)","(18579.933333333334, 19891.0, 2)","(14600.666666666666, 15632.0, 1)",BTC,Bitfinex
