id,bid_amount,bid_amount_btc,bid_price,ask_amount,ask_amount_btc,ask_price,coin,exchange,timestamp
53,1256.429371,0.019487219544209997,1.551e-05,800.0,0.01808,2.26e-05,XWC,Bittrex,
54,19205.52376765,0.297685618398575,1.55e-05,987.5,0.02245575,2.274e-05,XWC,Bittrex,
55,33.0,0.00050655,1.535e-05,5000.0,0.1145,2.29e-05,XWC,Bittrex,
56,200.0,0.003064,1.532e-05,2250.0,0.051570000000000005,2.292e-05,XWC,Bittrex,
57,45.0,0.0006871500000000001,1.527e-05,40.0,0.0009172,2.293e-05,XWC,Bittrex,
58,2008.882,0.030535006400000002,1.52e-05,1148.76507754,0.0263986214818692,2.298e-05,XWC,Bittrex,
59,899.0,0.01351197,1.503e-05,80.0,0.00184,2.3e-05,XWC,Bittrex,
60,2048.882,0.03073323,1.5e-05,6955.0,0.16239925,2.335e-05,XWC,Bittrex,
61,10000.0,0.14980000000000002,1.498e-05,5000.0,0.11699999999999999,2.34e-05,XWC,Bittrex,
62,1052.29617368,0.0157002589113056,1.492e-05,40.0,0.0009372,2.343e-05,XWC,Bittrex,
63,45382.97614177,0.6730295361824491,1.483e-05,814.0,0.0192918,2.37e-05,XWC,Bittrex,
64,8000.0,0.116,1.45e-05,6000.0,0.1434,2.39e-05,XWC,Bittrex,
65,36.97465889,0.0005206031971712001,1.408e-05,40.0,0.0009572,2.393e-05,XWC,Bittrex,
66,43735.9381225,0.612303133715,1.4e-05,10000.0,0.242,2.42e-05,XWC,Bittrex,
67,3000.0,0.0414,1.38e-05,201.35313222,0.0048807999250128,2.424e-05,XWC,Bittrex,
68,37.0,0.00050801,1.373e-05,616.2479407,0.014962500000196,2.428e-05,XWC,Bittrex,
69,3000.0,0.0411,1.37e-05,5000.0,0.122,2.44e-05,XWC,Bittrex,
70,3000.0,0.0408,1.36e-05,40.0,0.0009772000000000001,2.443e-05,XWC,Bittrex,
71,2500.0,0.033875,1.355e-05,79.12355447,0.0019503956176855,2.465e-05,XWC,Bittrex,
72,8700.0,0.11745,1.35e-05,40.0,0.0009972,2.493e-05,XWC,Bittrex,
73,3757.23948129,0.0494076991789635,1.315e-05,752.0,0.0188376,2.505e-05,XWC,Bittrex,
74,997.5,0.01306725,1.31e-05,995.0,0.0249546,2.508e-05,XWC,Bittrex,
75,30524.35820278,0.39681665663613996,1.3e-05,3000.0,0.07539,2.513e-05,XWC,Bittrex,
76,1500.0,0.01878,1.252e-05,2000.0,0.0504,2.52e-05,XWC,Bittrex,
77,53.004756,0.00066255945,1.25e-05,10000.0,0.254,2.54e-05,XWC,Bittrex,
78,50.0,0.0006234999999999999,1.247e-05,40.0,0.0010172,2.543e-05,XWC,Bittrex,
79,1730.0,0.0201545,1.165e-05,40.0,0.0010372,2.593e-05,XWC,Bittrex,
80,4327.66883438,0.048080400749961796,1.111e-05,5668.16509474,0.1471455658594504,2.596e-05,XWC,Bittrex,
81,244.37927664,0.0025000000000272,1.023e-05,10000.0,0.264,2.64e-05,XWC,Bittrex,
82,49.43147891,0.0005042010848820001,1.02e-05,40.0,0.0010572,2.643e-05,XWC,Bittrex,
83,7980.0,0.080997,1.015e-05,1862.0,0.050106420000000006,2.691e-05,XWC,Bittrex,
84,1918.0,0.01939098,1.011e-05,40.0,0.0010772,2.693e-05,XWC,Bittrex,
85,4990.1047375,0.049901047375,1e-05,2000.0,0.054240000000000003,2.712e-05,XWC,Bittrex,
86,13625.0,0.12371499999999999,9.08e-06,38348.96986639,1.0411745318724883,2.715e-05,XWC,Bittrex,
87,554166.66666667,4.98750000000003,9e-06,1750.0,0.04753,2.716e-05,XWC,Bittrex,
88,554166.66666667,4.876666666666696,8.8e-06,10000.0,0.27399999999999997,2.74e-05,XWC,Bittrex,
89,120.0,0.001026,8.55e-06,40.0,0.0010972,2.743e-05,XWC,Bittrex,
90,586764.70588235,4.987499999999975,8.5e-06,445.0,0.01222415,2.747e-05,XWC,Bittrex,
91,623437.5,4.9875,8e-06,3999.8,0.10999450000000001,2.75e-05,XWC,Bittrex,
92,25191.37828897,0.19875997469997334,7.89e-06,32.0,0.00088672,2.771e-05,XWC,Bittrex,
93,64.55901015,0.0005087249999820001,7.88e-06,40.0,0.0011172,2.793e-05,XWC,Bittrex,
94,67.14135713,0.0005102743141880001,7.6e-06,358.0,0.010006099999999999,2.795e-05,XWC,Bittrex,
95,623437.5,4.67578125,7.5e-06,358.03571429,0.010025000000119999,2.8e-05,XWC,Bittrex,
96,71.45014044,0.0005087249999328,7.12e-06,187.5,0.0052575,2.804e-05,XWC,Bittrex,
97,855000.0,5.985,7e-06,408.9427654,0.011499470563047998,2.812e-05,XWC,Bittrex,
98,855000.0,5.814,6.8e-06,10221.81146025,0.29029944547110004,2.84e-05,XWC,Bittrex,
99,160.18348289,0.0010828403443364,6.76e-06,60.0,0.0017058,2.843e-05,XWC,Bittrex,
100,855000.0,5.557499999999999,6.5e-06,60.0,0.0017358,2.893e-05,XWC,Bittrex,
101,187280.38018951,0.1704251459724541,9.1e-07,98663.7601796,0.09175729696702799,9.3e-07,XDN,Bittrex,
102,617204.41799049,0.555483976191441,9e-07,648728.67564821,0.6098049551093174,9.4e-07,XDN,Bittrex,
103,41004.53010853,0.0364940317965917,8.9e-07,553302.06886942,0.525636965425949,9.5e-07,XDN,Bittrex,
104,960380.55000179,0.8451348840015753,8.8e-07,166062.64623158,0.15942014038231678,9.6e-07,XDN,Bittrex,
105,1632028.8935938,1.419865137426606,8.7e-07,993323.53958043,0.9635238333930172,9.7e-07,XDN,Bittrex,
106,196244.19209418,0.1687700052009948,8.6e-07,882991.3435594,0.8653315166882118,9.8e-07,XDN,Bittrex,
107,365570.31269132,0.31073476578762205,8.5e-07,1688923.4062561,1.672034172193539,9.9e-07,XDN,Bittrex,
108,202453.55200666,0.1700609836855944,8.4e-07,1126725.0226598,1.1267250226598,1e-06,XDN,Bittrex,
109,663137.66313394,0.5504042604011702,8.3e-07,417185.13584152,0.4213569871999352,1.01e-06,XDN,Bittrex,
110,219930.91533756,0.1803433505767992,8.2e-07,9567.89045771,0.0097592482668642,1.02e-06,XDN,Bittrex,
111,222350.39431736,0.1801038193970616,8.1e-07,73785.43057235,0.07599899348952051,1.03e-06,XDN,Bittrex,
112,996015.73833091,0.796812590664728,8e-07,239396.01022639,0.2489718506354456,1.04e-06,XDN,Bittrex,
113,144273.4766122,0.11397604652363799,7.9e-07,65091.39426046,0.068345963973483,1.05e-06,XDN,Bittrex,
114,504861.05413461,0.3937916222249958,7.8e-07,221602.6769623,0.23489883758003802,1.06e-06,XDN,Bittrex,
115,28802.48360896,0.0221779123788992,7.7e-07,1401411.94056301,1.4995107764024207,1.07e-06,XDN,Bittrex,
116,242253.99125,0.18411303335,7.6e-07,235250.04477676,0.25407004835890085,1.08e-06,XDN,Bittrex,
117,241005.875,0.18075440625,7.5e-07,29484.51021295,0.0321381161321155,1.09e-06,XDN,Bittrex,
118,203274.32432431,0.1504229999999894,7.4e-07,1378090.15423029,1.5158991696533193,1.1e-06,XDN,Bittrex,
119,103424.65753425,0.0755000000000025,7.3e-07,681749.00750101,0.7567413983261211,1.11e-06,XDN,Bittrex,
120,485625.0,0.34965,7.2e-07,487006.14434603,0.5454468816675536,1.12e-06,XDN,Bittrex,
121,2850.0,0.001995,7e-07,31740.16240549,0.0358663835182037,1.13e-06,XDN,Bittrex,
122,2000.0,0.00138,6.9e-07,76626.14594656,0.08735380637907841,1.14e-06,XDN,Bittrex,
